Code,Title,Description,Source,Category
CPV,EC Common Procurement Vocabulary,"The Common Procurement Vocabulary is a standard adopted by the Commission of the European Community, and consisting of a main vocabulary for defining the subject of a contract, and a supplementary vocabulary for adding further qualitative information. The main vocabulary, identified in OCDS by the code CPV, is based on a tree structure comprising codes of up to 9 digits (an 8 digit code plus a check digit) associated with a wording that describes the type of goods, works or services forming the subject of the contract. Codes may be provided with or without the check digit, and consuming applications ought to be aware of this when processing data with CPV codes.",https://simap.ted.europa.eu/web/simap/cpv,item
CPVS,EC Common Procurement Vocabulary - Supplementary Codelists,"The Common Procurement Vocabulary is a standard adopted by the Commission of the European Community, and consisting of a main vocabulary for defining the subject of a contract, and a supplementary vocabulary for adding further qualitative information. The supplementary vocabulary, identified in OCDS by the code CPVS, is made up of an alphanumeric code with a corresponding wording allowing further details to be added regarding the specific nature or destination of the goods to be purchased.",https://simap.ted.europa.eu/web/simap/cpv,item
GSIN,Goods and Services Identification Number,The Canadian federal government uses Goods and Services Identification Number (GSIN) codes to identify generic product descriptions for its procurement activities. The full list is published and maintained at buyandsell.gc.ca,https://buyandsell.gc.ca/procurement-data/goods-and-services-identification-number,item
UNSPSC,United Nations Standard Products and Services Code,The United Nations Standard Products and Services Code (UNSPSC) is a hierarchical convention that is used to classify all products and services.,http://www.unspsc.org/codeset-downloads,item
CPC,Central Product Classification,"The Central Product Classification (CPC) is a product classification for goods and services promulgated by the United Nations Statistical Commission. It is intended to be an international standard for organizing and analyzing data on industrial production, national accounts, trade and prices.",https://unstats.un.org/unsd/classifications/Econ/cpc,item
OKDP,Russian National Classification of Products by Economic Activity (1994),"Part of the unified system of classification and coding of technical, economic and social information of the Russian Federation, in use for Russian Procurement information until January 1, 2016. Superseded by OKPD.",http://base.consultant.ru/cons/cgi/online.cgi?req=doc;base=LAW;n=143095;fld=134;from=14052-7;rnd=0.33374630799517035,item
OKPD,Russian National Classification of Products by Economic Activity (2014),"Part of the national standardization system of the Russian Federation and based on harmonization with the Statistical Classification of Products by Activity in the European Economic Community, 2008. In use from January 1 2014.",http://base.consultant.ru/cons/cgi/online.cgi?req=doc;base=LAW;n=163703;fld=134;from=170864-15;rnd=0.39699640963226557,item
CUCOP,Mexican Single Classifier of Public Procurement,"The Single Classifier of Public Procurement (Clasificador Único de las Contrataciones Públicas) is a national scheme in Mexico for the classification of goods, works, services and leases.",https://sites.google.com/site/cnetcucop/,item
NAICS,North American Industry Classification System,"The North American Industry Classification System (NAICS) is an industry classification system developed by the statistical agencies of Canada, Mexico and the United States. Created against the background of the North American Free Trade Agreement, it is designed to provide common definitions of the industrial structure of the three countries and a common statistical framework to facilitate the analysis of the three economies. NAICS is based on supply-side or production-oriented principles, to ensure that industrial data, classified to NAICS, are suitable for the analysis of production-related issues such as industrial performance.",https://www.census.gov/eos/www/naics/downloadables/downloadables.html,item
PSC,Product and Service Codes,"The Product and Service Codes (PSC) Manual provides codes to describe products, services, and research and development (R&D) purchased by the United States federal government. These codes indicate 'WHAT' was bought for each contract action reported in the Federal Procurement Data System (FPDS).",https://www.acquisition.gov/PSC_Manual,item
HS,Harmonized Commodity Description and Coding System,"The Harmonized System is an international nomenclature for the classification of products. It allows participating countries to classify traded goods on a common basis for customs purposes. At the international level, the Harmonized System (HS) for classifying goods is a six-digit code system.",https://unstats.un.org/unsd/tradekb/Knowledgebase/50018/Harmonized-Commodity-Description-and-Coding-Systems-HS,item
